"WeekInDayFmt","Sku","Store","Sales"
20070224,1383769,35,2
20070317,1383769,35,2
20070414,1383769,35,4
20070421,1383769,35,3
20070428,1383769,35,1
20070512,1383769,35,2
20070526,1383769,35,3
20070616,1383769,35,2
20070707,1383769,35,1
20070721,1383769,35,1
20070728,1383769,35,2
20070804,1383769,35,6
20070825,1383769,35,2
20070901,1383769,35,1
20070908,1383769,35,9
20071006,1383769,35,3
20071013,1383769,35,4
20071020,1383769,35,5
20051105,1383769,36,3
20051126,1383769,36,1
20051210,1383769,36,11
20051217,1383769,36,3
20051231,1383769,36,1
20060107,1383769,36,1
20060121,1383769,36,4
20060204,1383769,36,1
20060218,1383769,36,1
20060225,1383769,36,1
20060318,1383769,36,3
20060401,1383769,36,3
20060415,1383769,36,1
20060513,1383769,36,1
20060610,1383769,36,1
20060805,1383769,36,2
20060826,1383769,36,3
20060930,1383769,36,2
20061014,1383769,36,1
20061111,1383769,36,2
20061118,1383769,36,2
20061230,1383769,36,1
20070120,1383769,36,4
20070203,1383769,36,1
20070317,1383769,36,6
20070331,1383769,36,1
20070414,1383769,36,2
20070512,1383769,36,1
20070526,1383769,36,1
20070609,1383769,36,3
20070623,1383769,36,1
20070630,1383769,36,1
20070707,1383769,36,1
20070714,1383769,36,1
20070804,1383769,36,2
20070825,1383769,36,2
20070908,1383769,36,5
20070922,1383769,36,1
20070929,1383769,36,1
20071006,1383769,36,3
20071013,1383769,36,1
20051210,1383769,38,6
20061021,1383769,38,3
20061028,1383769,38,1
20061111,1383769,38,4
20061202,1383769,38,1
20061209,1383769,38,1
20070120,1383769,38,1
20070210,1383769,38,1
20070224,1383769,38,3
20070317,1383769,38,3
20070331,1383769,38,4
20070421,1383769,38,2
20070519,1383769,38,1
20070526,1383769,38,1
20070602,1383769,38,1
20070609,1383769,38,2
20070616,1383769,38,3
20070707,1383769,38,1
20070714,1383769,38,1
20070728,1383769,38,2
20070825,1383769,38,1
20070908,1383769,38,5
20070915,1383769,38,2
20070929,1383769,38,3
